English word,French word,Frequency
their,leur,1935
often,souvent,121
certain,certain,167
copyright,droits d'auteur,7
should,devrait,1428
proud,fier,194
entertainment,divertissement,37
further,plus loin,184
below,au dessous de,52
would,aurait,2027
about,sur,358
month,mois,44
version,version,1
those,ceux,467
first,première,468
please,S'il vous plaît,334
least,moins,101
hours,heures,139
written,écrit,34
hundred,cent,114
which,lequel,1418
number,nombre,54
paper,papier,106
these,celles-ci,1101
other,autre,687
point,point,145
general,général,187
since,depuis,286
effect,effet,70
reputation,réputation,45
right,droite,325
subject,matière,104
small,petit,85
copies,copies,4
readable,lisible,2
although,bien que,37
plain,plaine,117
request,demande,67
cannot,ne peux pas,718
party,fête,51
receive,recevoir,81
discover,découvrir,39
within,dans,340
money,argent,179
person,la personne,150
return,revenir,224
second,seconde,100
above,au dessus,124
cause,cause,336
public,Publique,55
works,travaux,23
freely,librement,52
distributed,distribué,2
machine,machine,2
think,pense,986
desire,le désir,209
beauty,beauté,224
might,pourrait,453
never,jamais,907
tender,soumissionner,147
memory,Mémoire,58
bright,brillant,70
light,lumière,256
where,où,684
sweet,sucré,664
cruel,cruel,71
world,monde,678
fresh,Frais,86
spring,printemps,57
content,contenu,141
waste,déchets,43
grave,la tombe,182
shall,doit,3128
field,champ,188
youth,jeunesse,275
worth,vaut,201
being,étant,548
treasure,Trésor,53
shame,la honte,294
praise,louange,177
answer,répondre,403
child,enfant,227
count,compter,50
excuse,excuse,72
blood,du sang,660
glass,verre,68
another,un autre,370
repair,réparation,38
mother,mère,399
whose,dont,383
lovely,charmant,53
through,par,227
golden,d'or,86
single,Célibataire,58
image,image,45
spend,dépenser,67
nothing,rien,541
abuse,abuser de,46
given,donné,183
great,génial,830
having,ayant,122
alone,seul,232
nature,la nature,332
leave,laisser,610
lives,vies,188
gentle,doux,345
frame,Cadre,45
every,chaque,456
dwell,habiter,40
summer,été,89
winter,hiver,67
there,Là,1501
quite,assez,72
walls,des murs,84
flowers,fleurs,46
though,bien que,400
substance,substance,41
still,encore,499
place,endroit,450
willing,prêt,36
breed,race,47
times,fois,208
could,pourrait,557
death,décès,845
depart,partir,62
living,vivant,120
burning,brûlant,50
under,sous,208
sight,vue,200
looks,regards,202
sacred,sacré,46
majesty,majesté,69
strong,fort,190
mortal,mortel,96
weary,se lasser,73
feeble,faible,21
going,Aller,102
unless,sauf si,64
music,la musique,162
pleasure,plaisir,179
offend,offenser,57
chide,gronder,45
parts,les pièces,107
husband,mari,321
happy,heureux,187
prove,prouver,233
widow,veuve,70
behind,derrière,114
private,privé,66
shape,forme,87
toward,vers,94
others,autres,182
chief,chef,30
change,changement,148
thought,pensée,373
presence,présence,103
wisdom,sagesse,92
folly,folie,79
cease,cesser,42
store,boutique,40
bounty,prime,41
meant,signifiait,53
tells,raconte,40
brave,courageux,146
night,nuit,808
behold,voir,119
barren,Dénudé,38
green,vert,88
beard,barbe,96
question,question,148
themselves,se,158
hence,Par conséquent,312
longer,plus long,106
yours,le tiens,248
coming,venir,145
prepare,préparer,48
again,encore,757
after,après,339
issue,problème,110
house,maison,547
eternal,éternel,37
father,père,1034
stars,étoiles,68
pluck,cueillir,116
quality,qualité,55
fortune,fortune,263
brief,bref,84
thunder,tonnerre,56
heaven,paradis,577
knowledge,connaissance,76
constant,constant,48
truth,vérité,334
together,ensemble,241
thrive,prospérer,56
consider,considérer,45
thing,chose,358
little,peu,476
nought,néant,54
shows,montre,95
secret,secret,65
perceive,apercevoir,91
state,Etat,305
before,avant,628
tyrant,tyran,58
means,veux dire,261
stand,supporter,466
maiden,jeune fille,49
painted,peint,52
counterfeit,contrefaire,53
outward,vers l'extérieur,50
keeps,garde,69
drawn,tiré,84
skill,compétence,51
believe,croyez,185
knows,sait,205
write,écrire,105
faces,visages,53
tongue,langue,411
alive,vivant,86
twice,deux fois,62
shake,secouer,91
short,court,103
complexion,complexion,40
sometime,parfois,59
chance,chance,103
course,cours,157
blunt,cru,27
earth,Terre,313
teeth,les dents,55
fierce,féroce,37
sorry,Pardon,88
swift,rapide,67
forbid,interdire,70
despite,malgré,44
wrong,faux,272
young,Jeune,406
woman,femme,416
master,Maître,503
mistress,maîtresse,262
passion,la passion,106
heart,cœur,1051
acquainted,connaissance,38
false,faux,283
fashion,mode,110
object,objet,39
souls,âmes,110
wrought,forgé,42
purpose,objectif,203
truly,vraiment,124
breast,Sein,98
elder,aîné,43
therefore,par conséquent,363
nurse,infirmière,73
slain,tué,125
strength,force,120
trust,confiance,156
forget,oublier,90
perfect,parfait,55
plead,plaider,41
learn,apprendre,113
painter,peintre,10
table,table,60
wherein,où,66
hanging,pendaison,35
turns,se tourne,47
therein,la bride,47
cunning,ruse,73
grace,la grâce,274
favour,favoriser,137
triumph,triomphe,47
pride,fierté,106
buried,enterré,54
frown,froncer les sourcils,51
glory,gloire,86
fight,bats toi,272
merit,mérite,51
witness,témoin,108
naked,nu,50
apparel,vêtements,39
loving,aimant,117
respect,le respect,100
haste,hâte,154
limbs,membres,47
darkness,obscurité,37
blind,aveugle,82
shadow,ombre,71
jewel,bijou,58
black,noir,157
quiet,silencieux,73
benefit,avantage,39
enemies,ennemis,111
either,Soit,115
reign,règne,46
consent,consentement,88
hands,mains,319
farther,plus loin,42
clouds,des nuages,57
flatter,flatter,51
grief,douleur,212
disgrace,disgrâce,46
trouble,difficulté,72
curse,malédiction,98
enjoy,prendre plaisir,49
almost,presque,139
wealth,richesse,72
scorn,mépris,104
kings,rois,106
sought,recherché,35
drown,noyer,82
precious,précieux,76
grieve,pleurer,39
account,Compte,45
while,tandis que,177
friend,ami,435
appear,apparaître,133
lovers,les amoureux,55
bones,des os,76
grown,grandi,59
birth,naissance,87
brought,apporté,186
march,Mars,82
better,mieux,566
glorious,glorieux,41
morning,Matin,130
sovereign,souverain,150
early,de bonne heure,46
shine,éclat,43
stain,tache,62
didst,didst,145
promise,promettre,105
forth,en avant,369
without,sans pour autant,287
rotten,pourri,36
enough,assez,291
storm,orage,52
beaten,battu,48
speak,parler,1005
wound,blessure,70
repent,se repentir,52
sorrow,chagrin,185
bears,ours,102
offence,infraction,94
cross,traverser,98
tears,larmes,274
ransom,une rançon,59
deeds,actes,118
silver,argent,65
fault,faute,170
bring,apporter,375
sense,sens,124
lawful,légitime,60
civil,civil,50
needs,Besoins,142
thief,voleur,68
confess,avouer,134
loves,aime,194
remain,rester,59
borne,supporté,80
spite,dépit,59
steal,voler,78
delight,délice,55
kindness,la gentillesse,51
report,rapport,142
dearest,très cher,56
comfort,confort,174
whether,qu'il s'agisse,56
argument,argument,67
excellent,excellent,100
absence,absence,55
leisure,loisir,63
entertain,divertir,55
blame,faire des reproches,82
taste,goût,75
known,connu,185
pretty,jolie,109
liberty,liberté,71
forbear,ancêtre,44
dearly,chèrement,41
because,car,81
found,a trouvé,219
sleep,sommeil,242
dreams,rêves,45
clear,clair,64
heavy,lourd,167
flesh,la chair,137
matter,matière,354
large,grand,69
water,eau,148
attend,assister,103
present,présent,239
motion,mouvement,80
health,santé,91
straight,tout droit,145
picture,image,43
title,Titre,91
feast,le banquet,97
thrust,poussée,47
whence,d'où,58
prize,prix,47
greet,saluer,41
desert,désert,44
guard,garde,105
teach,enseigner,91
beast,la bête,72
weight,poids,44
wretch,misérable,59
speed,la vitesse,112
anger,colère,58
